country,code,pop
Kenya,KEN, 1’538’451 
Nigeria,NGA, 327’732 
South Africa,ZAF, 215’512 
Mauritius,MUS, 304’045 
Madagascar,MDG, 107’800 
Senegal,SEN, 232’123 
Colombia,COL, 857’400 
El Salvador,SLV, 274’056 
Costa Rica,CRI, 480’000 
"Kenya, Uganda & Malawi",Multiple, 412’103 
Brazil,BRA, 1’292’500 
Peru,PER, 671’000 
Mexico,MEX, 495’000 
Rwanda,Multiple, 30’242 
Uganda,Multiple, 550’294 
Mozambique,MOZ, 9’108 
Zambia,ZMB, 5’337 
Zimbabwe,ZWE, 71’425 
Tanzania,TZA, 15’089 
Sierra Leone,SLE, 308’652 
Malawi,MWI, 13’648 
Somalia,SOM, 296 
India,IND, 1’159’888 
Philippines,PHL, 1’614’758 
Indonesia,IDN, 603’519 
Vietnam,VNM, 401’369 
Singapore,SGP, 101’200 
Thailand,Multiple, 420’070 
Honduras,HND, 244’800 
Dom. Republic,N/A, 211’200 
Panama,PAN, 120’000 
Kenya and Mauritius,Multiple, 253’820 
Uruguay,URY, 141’900 
Djibouti,DJI, 6’298 
